# QUICKBOOKS PREMIUM FINANCIAL EXPORT
# Export Date: 2026-05-20
# Scope: 5-Year Historical Startup PnL Ledger

Transaction_ID,Date,Category,Sub_Category,Amount,Entity,Status,Payment_Method,Notes,System_Flag
TXN-100000,2021-01-01,Revenue,SaaS Subscriptions,2446.34,Umbrella Corp Inc.,Settled,ACH Transfer,,VALID
TXN-100001,01/02/2021,Opex,Travel & Entertainment,-4535.18,OpenAI API,settled,Credit Card,Monthly recurring revenue billing,VALID
TXN-100002,2021-01-03,Payroll,Health Insurance Premiums,"$-13,943.07",Internal Payroll Processing,Reversed,Wire Transfer,Contract negotiation retainer fee,VALID
TXN-100003,2021-01-04,Legal,IP Filing Fees,-8291.86,IP Protection Bureau,Reversed,Credit Card,Contract negotiation retainer fee,VALID
TXN-100004,05/01/2021,Revenue,Professional Services,$948.12,Initech Inc.,Cleared,Wire Transfer,Contract negotiation retainer fee,VALID
TXN-100005,01/06/2021,Payroll,Full-Time Salaries,"$-12,837.12",Internal Payroll Processing,PENDING,Wire Transfer,Bi-weekly company payroll run,VALID
TXN-100006,2021-01-07,Revenue,Professional Services,6256.25,Umbrella Corp Inc.,Cleared,,Contract negotiation retainer fee,VALID
TXN-100007,2021-01-08,Legal,Contract Drafting,"$-4,966.72",IP Protection Bureau,Failed,Credit Card,Quarterly marketing spend optimization,ERR_$$__CRITICAL!
TXN-100008,09/01/2021,Opex,Travel & Entertainment,$-51.20,Ironclad Legal,Processing,Check,Q1 infrastructure compute charge,VALID
TXN-100009,2021-01-10,Legal,Regulatory Compliance,-1011.43,IP Protection Bureau,settled,,Patent filing expense itemized,VALID
   ,01/11/2021,Payroll ,Bonuses & Incentives,-10424.49,Internal Payroll Processing,Reversed,ACH Transfer,New employee onboarding equipment,VALID
TXN-100011,2021-01-12,Payroll,Contractor Fees,-10285.86,Internal Payroll Processing,Reversed,Wire Transfer,Monthly recurring revenue billing,VALID
TXN-100012,2021-01-13,Revenue,Enterprise License,3819.64,Stark Industries Inc.,settled,ACH Transfer,Annual team offsite travel reimbursement,ERR_$$__CRITICAL!
TXN-100013,2021-01-14,Opex,Marketing Campaigns,-868.31,Google Suite,PENDING,Wire Transfer,Bi-weekly company payroll run,VALID
TXN-100014,2021-01-15,Payroll,Bonuses & Incentives,"$-9,227.75",Internal Payroll Processing,Reversed,Credit Card,Bi-weekly company payroll run,VALID
TXN-100015,2021-01-16, Revenue,Professional Services,1821.11,Acme Corp Inc.,Reversed,Credit Card,Bi-weekly company payroll run,VALID
TXN-100016,2021-01-17,Legal,Contract Drafting,$-656.66,Kramer Legal Group,Processing,,Quarterly marketing spend optimization,VALID
TXN-100017,18/01/2021,Revenue,SaaS Subscriptions,"$1,827.58",Initech Inc.,Failed,Check,New employee onboarding equipment,VALID
txn_100018,2021-01-19,Revenue,Ad-hoc Consulting,2381.39,Stark Industries Inc.,Cleared,Check,Bi-weekly company payroll run,VALID
TXN-100019,2021-01-20,Opex,Software Licenses,$-933.40,Deel Payroll,PENDING,,Quarterly marketing spend optimization,ERR_$$__CRITICAL!
TXN-100020,2021-01-21,Legal,Contract Drafting,-2475.62,Preston & Gates LLP,Settled,PayPal,Monthly recurring revenue billing,VALID
TXN-100021,2021-01-22,Opex ,Cloud Infrastructure,-2326.9,Google Suite,Reversed,PayPal,Bi-weekly company payroll run,VALID
TXN-100022,2021-01-23,Revenue,Ad-hoc Consulting,1213.68,Acme Corp Inc.,Cleared,,Quarterly marketing spend optimization,VALID
   ,2021-01-24,Legal,Regulatory Compliance,-23376.54,IP Protection Bureau,Reversed,Credit Card,Q1 infrastructure compute charge,VALID
TXN-100024,2021-01-25,Opex,Office Supplies,$-91.35,Ironclad Legal,PENDING,PayPal,Monthly recurring revenue billing,VALID
TXN-100025,01/26/2021,Revenue,Professional Services,"$4,776.67",Wayne Enterprises Inc.,PENDING,,Bi-weekly company payroll run,VALID
TXN-100026,2021-01-27,Legal,Regulatory Compliance,"$-2,681.77",Kramer Legal Group,settled,Credit Card,Contract negotiation retainer fee,VALID
TXN-100027,2021-01-28,Payroll,Contractor Fees,"$-10,199.24",Internal Payroll Processing,Reversed,ACH Transfer,New employee onboarding equipment,VALID
TXN-100028,2021-01-29, Opex,Software Licenses,-174.17,Deel Payroll,Cleared,,Contract negotiation retainer fee,VALID
TXN-100029,2021-01-30,Revenue,Enterprise License,"$5,863.75",Wayne Enterprises Inc.,Processing,ACH Transfer,New employee onboarding equipment,VALID
TXN-100030,31/01/2021,Payroll,Bonuses & Incentives,"$-14,842.32",Internal Payroll Processing,Processing,ACH Transfer,,VALID
TXN-100031,2021-02-01,Opex,Marketing Campaigns,-890.14,AWS Cloud Services,Failed,Wire Transfer,Quarterly marketing spend optimization,VALID
txn_100032,NULL,Payroll,Health Insurance Premiums,-11959.51,Internal Payroll Processing,Failed,Credit Card,Q1 infrastructure compute charge,VALID
TXN-100033,2021-02-03, Payroll,Full-Time Salaries,-8826.87,Internal Payroll Processing,Processing,PayPal,Q1 infrastructure compute charge,VALID
TXN-100034,04/02/2021, Revenue,Ad-hoc Consulting,274.97,Hooli Inc.,Failed,Check,Bi-weekly company payroll run,VALID
TXN-100035,05/02/2021,Payroll ,Health Insurance Premiums,-11311.65,Internal Payroll Processing,Processing,,Contract negotiation retainer fee,VALID
TXN-100036,02/06/2021,Opex,Marketing Campaigns,-1649.38,Slack Technologies,Failed,Wire Transfer,Monthly recurring revenue billing,VALID
txn_100037,2021-02-07,Payroll,Bonuses & Incentives,-13168.05,Internal Payroll Processing,PENDING,ACH Transfer,New employee onboarding equipment,VALID
TXN-100038,02/08/2021,Payroll,Full-Time Salaries,"$-12,626.59",Internal Payroll Processing,Settled,Credit Card,Monthly recurring revenue billing,ERR_$$__CRITICAL!
TXN-100039,2021-02-09,Revenue,Ad-hoc Consulting,"$4,056.12",Wayne Enterprises Inc.,settled,ACH Transfer,Monthly recurring revenue billing,VALID
